Company,ESG Data
TRGYO.E,"['Torunlar Gayrimenkul Yatirim Ortakligi AS', '21.1', 'Medium ESG Risk']"
TUKAS.E,"['Tukas Gida Sanayi ve Ticaret AS', '45.1', 'Severe ESG Risk']"
THYAO.E,"['Türk Hava Yollari AO', '22.0', 'Medium ESG Risk']"
TTKOM.E,"['Türk Telekomünikasyon AS', '19.4', 'Low ESG Risk']"
TTRAK.E,"['Türk Traktör ve Ziraat Makineleri AS', '16.4', 'Low ESG Risk']"
TCELL.E,"['TURKCELL Iletisim Hizmetleri AS', '22.1', 'Medium ESG Risk']"
GARAN.E,"['Turkiye Garanti Bankasi AS', '23.7', 'Medium ESG Risk']"
HALKB.E,"['Turkiye Halk Bankasi AS', '31.0', 'High ESG Risk']"
ISCTR.E,"['Türkiye Is Bankasi AS', '18.1', 'Low ESG Risk']"
KLNMA.E,"['Türkiye Kalkinma ve Yatirim Bankasi AS', '12.4', 'Low ESG Risk']"
TUPRS.E,"['Turkiye Petrol Rafinerileri AS', '27.7', 'Medium ESG Risk']"
TURSG.E,"['Türkiye Sigorta AS', '32.1', 'High ESG Risk']"
TSKB.E,"['Türkiye Sinai Kalkinma Bankasi AS', '7.4', 'Negligible ESG Risk']"
SISE.E,"['Türkiye Sise ve Cam Fabrikalari AS', '32.4', 'High ESG Risk']"
VAKBN.E,"['Türkiye Vakiflar Bankasi TAO', '18.6', 'Low ESG Risk']"
ULKER.E,"['Ülker Bisküvi Sanayi AS', '23.6', 'Medium ESG Risk']"
VKGYO.E,"['Vakif Gayrimenkul Yatirim Ortakligi AS', '15.5', 'Low ESG Risk']"
VAKKO.E,"['Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri AS', '19.7', 'Low ESG Risk']"
VESBE.E,"['Vestel Beyaz Esya Sanayi ve Ticaret AS', '13.4', 'Low ESG Risk']"
VESTL.E,"['Vestel Elektronik Sanayi ve Ticaret AS', '21.8', 'Medium ESG Risk']"
YKBNK.E,"['Yapi ve Kredi Bankasi AS', '15.8', 'Low ESG Risk']"
YATAS.E,"['Yatas Yatak ve Yorgan Sanayi Ticaret AS', '18.3', 'Low ESG Risk']"
YYLGD.E,"['Yayla Agro Gida Sanayi ve Ticaret AS', '44.8', 'Severe ESG Risk']"
ZRGYO.E,"['Ziraat Gayrimenkul Yatirim Ortakligi AS', '21.1', 'Medium ESG Risk']"
ZOREN.E,"['Zorlu Enerji Elektrik Üretim AS', '24.0', 'Medium ESG Risk']"
